label,pair,treatment,sp.cd,field.f,field.d,burn.f,burn.d,tiller.num,height,height.90,drym.10,wda10.1,wda10.2,wda10.3,wdb10.1,wdb10.2,wdb10.3,dry.m,wda.1,wda.2,wda.3,wdb.1,wdb.2,wdb.3
cs09,5,b,CHLA5,33.8,14.39,3.47,3.42,30,111,94,,9.5,9.5,9,6,6.5,8,,8.5,18.5,42.5,5.5,10.2,18
cs09r,5r,b,CHLA5,,,,,15,107,84,,4.5,4.5,6,7,7,5,,3,15,61,3,17,30
cs10,5,u,CHLA5,,,,,60,106,83,14.54,11.5,11.2,11.5,8.7,10,9,94.8,11,18,68,8.8,10.5,30
cs10r,5r,u,CHLA5,,,,,18,100,83,4.62,6.5,6,5.5,8,8,7,27.06,5.2,20.5,48,7,11,28
cs11,6,b,CHLA5,20.16,7.14,,,18,88,70,,10.4,10.7,7.8,6,9.4,8.5,,9,30,49,5,14,15
cs12,6,u,CHLA5,,,,,20,82,67,6.39,11,9.5,8.3,8.5,9,8.5,37.58,5.5,14,43,5.5,31.5,41
cs13,7,b,CHLA5,13.57,5.29,,,12,74,63,,4.3,6.5,8,3.4,3.7,6,,10,19,16,8,12,9.5
cs13r,7r,b,CHLA5,,,,,25,120,100,,7.5,7,7.2,10.5,9.7,8,,13.5,24,69,9,13.5,50
cs14,7,u,CHLA5,,,,,19,82,60,3.87,7,6.4,6.5,5,4,3.4,19.45,19,27,29,7,16.5,16.5
cs14r,7r,u,CHLA5,,,,,30,108,82,5.2,9.4,10.5,8.5,6.2,5.8,6,35.4,12,28,61,5.5,17,31
cs15,8,b,CHLA5,N/A,N/A,2.58,2.58,14,87,75,,4.4,7,7,5.5,5.4,5.6,,15.5,35,70,7.7,15,27
cs15r,8r,b,CHLA5,,,,,21,88,73,,8.5,8.7,8.7,6,6,5.5,,15,33.5,49,6,22,30
cs16,8,u,CHLA5,,,,,19,88,76,3.41,4.5,5.2,5.6,4.3,4.8,5,23.25,9.5,31,42.5,6.5,19.7,22
cs16r,8r,u,CHLA5,,,,,23,87,77,6.9,9.8,8,8.2,5.6,5,4.5,35.1,8,20,53,6.5,17.5,34
cs17,9,b,CHLA5,24.5,9.38,2.47,2.38,22,110,90,,11.5,8.5,8.5,6.7,6,5.5,,8,11,51,4.2,24,23.5
cs17r,9r,b,CHLA5,,,,,26,85,76,,12.5,10.5,7.2,5.5,5.5,5,,15,19,34,15.5,20,45
cs18,9,u,CHLA5,,,,,24,82,60,5.55,12,11,9.7,8.5,9,9,23.7,9,44.7,75,8.2,16.5,38
cs18r,9r,u,CHLA5,,,,,22,89,76,6.25,7.8,5,5.2,9,8,7.3,28.98,33,22.5,66,18,23.5,19
cs19,10,b,CHLA5,15.49,6.2,,,13,71,65,,6.6,6,5.4,4.4,4.2,3.4,,7,20,30,3.5,20,30
cs19r,10r,b,CHLA5,,,,,34,83,60,,9.5,7,6,7.3,5.5,4.5,,11,29,20,5,7,9
cs20,10,u,CHLA5,,,,,11,73,56,1.48,5,4.5,4.5,3.5,2.5,2.7,13.33,17,28,32,14,10,15
cs20r,10r,u,CHLA5,,,,,30,105,80,5.57,7,5.4,5.5,11,9,9.2,35.8,6.5,36,88,19,15.5,42
cs23,11,b,CHLA5,18.6,6.23,,,9,85,73,,5.5,6.5,6.9,4,3,3.7,,6,14.5,20,3.3,6,9
cs24,11,u,CHLA5,,,,,11,73,62,2.49,4,6,6,2.7,3,2.5,9.94,11,14,27,11,17,12.5
cs25,12,b,CHLA5,30.1,11.17,,,26,108,89,,11.5,9.3,11,5,4.5,5,,7,11,52,6,11,41
cs26,12,u,CHLA5,,,,,41,97,78,7.56,13.5,11.6,11,9.4,8.2,7,35.15,8.4,14,48,6,8.5,23
cs27,13,b,CHLA5,45.5,15.52,,,16,86,57,,9.5,9,10,4,4.3,5,,12,23,24,5.5,11.7,40
cs28,13,u,CHLA5,,,,,24,75,58,3.45,11,9.4,9.5,5.5,6,5.7,22.12,8,14.5,45,5,12,18.5
cs29,14,b,CHLA5,16.4,6.07,,,13,75,63,,7,6.5,6,4.7,3.5,3.4,,9,18,16.5,2.5,6,20
cs30,14,u,CHLA5,,,,,18,69,60,3.16,12,8.5,7.5,5,5.5,5,12.74,5,10.5,29,4,19,18.5
cs31,15,b,CHLA5,15.15,4.94,,,9,76,56,,6.5,6.7,7,2,4,4.2,,11.5,18,73,6,5.5,20.5
cs32,15,u,CHLA5,,,,,13,67,54,2.03,5,4.5,4,6,4,3,11,7.5,13.5,27.5,4.5,24,18.5
cs33,16,b,CHLA5,31.55,12.63,,,19,108,79,,7,8,8,5.5,4.8,3.4,,6,45,40,2,13,40
cs34,16,u,CHLA5,,,,,24,113,78,3.37,8.5,7.3,8.5,6.5,5,5,18.18,7,11.5,38,5,12,18
cs35,17,b,CHLA5,4.9,1.68,,,9,74,59,,5,4,4,4.5,5,4.5,,15,18,28,13,16,18.5
cs36,17,u,CHLA5,,,,,10,61,45,0.86,3.5,3.5,3.3,2,1.5,1.2,6.18,6,25,36,4.5,8,14
cs37,18,b,CHLA5,2.24,0.81,,,24,88,73,,8,7,5,5.5,5.3,5.5,,8.5,15,30,6.8,19,28
cs38,18,u,CHLA5,,,,,15,100,81,3.83,6.5,5,5,3,2.5,3,20.38,13,28,46,5,10,28.5
cs39,19,b,CHLA5,14.72,5.49,,,22,80,67,,11,7.5,7,5,4,4,,11.5,28,33,8,18,21
cs40,19,u,CHLA5,,,,,18,81,68,3.74,6.5,6.3,6.5,8.3,7.5,7,23.7,10.3,39,94,5,25.5,27.5
cs41,20,b,CHLA5,18.73,8.01,,,21,120,100,,8,8,8,5,4.8,4.5,,10,26,31,14.5,15,23
cs42,20,u,CHLA5,,,,,18,110,90,6.07,7.6,6.2,8.8,7,6.2,4.6,35.95,14.6,33,64,11.2,30,40
cs43,21,b,CHLA5,19.36,7.71,,,25,92,70,,10,9.3,8.5,8,8,6.9,,21,43,53,12.5,21,26.5
cs44,21,u,CHLA5,,,,,24,92,74,5.01,7.5,4.8,4.5,6.5,6,6,30.91,8.5,28.5,39,5.5,24,61
ec01,1,b,ELLO3,17.59,4.79,0.69,0.65,39,38,29,,11,12.5,12.3,1,1,0.8,,15,13,11,1.5,5,6.5
ec02,1,u,ELLO3,,,,,40,34,24,3.33,6,6.5,7.2,2.5,1.5,2,4.83,7.5,11.5,13,2,4,8
ec03,2,u,ELLO3,,,,,34,27,20,3.74,6.5,7,7.5,3,2,2,3.51,8.5,10,15,1,4.5,9
ec04,2,b,ELLO3,13.94,6.42,0.42,0.39,31,27,19,,5.5,5.5,5,4.5,4,3,,5,8.5,7.5,3.5,5.5,5.5
ec05,3,b,ELLO3,17.05,8.34,0.61,0.59,38,35,27,,5.5,6,6.5,3,3.5,3,,7.5,10.5,13,2,3.5,6.5
ec06,3,u,ELLO3,,,,,15,34,25,2.68,3.5,3.5,4,3,2.5,3,4.35,5,7.5,11,4,4,6
ec07,4,b,ELLO3,13.93,7.18,0.38,0.35,28,15,8,,5.5,6,6.5,3,3.5,3,,7.5,10.5,13,2,3.5,6.5
ec08,4,u,ELLO3,,,,,38,24,19,5.45,6.5,7.5,9,4,3,1,3.66,9,11.5,10.5,3,5,6
ec09,5,u,ELLO3,,,,,157,32,25,15.22,11.5,13,13.5,6,5,6.5,25.72,15,19,20,7,13.5,14
ec10,5,b,ELLO3,16.41,6.58,1.64,1.57,128,38,26,,12,14.5,13.5,6,5.5,6,,15,20,18,5,7,9
ec11,6,u,ELLO3,,,,,226,48,37,27.48,12,10.5,10.5,10,10.5,8,31.99,11.5,13.5,20,12.5,8.5,16
ec12,6,b,ELLO3,24.19,9.26,1.41,1.34,139,44,30,,11.5,14,16,8.5,10,10.5,,16.5,17.5,18,9.5,7,14
ec13,7,b,ELLO3,11.82,3.95,1.01,0.89,32,33,23,,7.5,8.5,9,4,3,3,,8.5,8,6,2.5,3,3.5
ec14,7,u,ELLO3,,,,,43,34,22,6.41,7.5,7.5,6.5,3,3,4,5.56,6.5,7,9.5,4.5,4,8.5
ec15,8,b,ELLO3,17.76,7.63,0.78,0.73,44,33,23,,10,10,10,4,2,2,,10,11,13,3,5.5,8
ec16,8,u,ELLO3,,,,,44,33,23,7.59,6,6.5,7,4,3,3.5,6.44,9,10.5,15,3.5,5,9.5
ec17,9,b,ELLO3,N/A,N/A,,,50,36,26,,9.5,11,10.5,9,10,8.5,,8,13,15,9.5,8.5,15
ec18,9,u,ELLO3,,,,,80,40,29,11.06,10,10.5,10.5,6.5,7,7.5,24.63,11,15,24.5,7,10,14
ec19,10,b,ELLO3,21.68,9.86,2.96,2.84,50,52,32,,18,19,25,16,16,16.5,,16,18,23,20,22,26
ec20,10,u,ELLO3,,,,,102,31,23,9.67,9,10,12,7.5,9.5,8.5,25.79,12.5,16.5,24,9,11.5,20.5
ec21,11,b,ELLO3,31.75,13.68,2.25,2.13,100,37,29,,10.5,12,12,12,11,10.5,,12.5,18,22,11.5,15,17
ec22,11,u,ELLO3,,,,,119,41,30,15.95,8,10.5,10,8.5,10,9.5,34.61,12.5,17.5,36,8,11,20
ec23,12,b,ELLO3,26.11,11.78,1.6,1.52,67,36,28,,5,6.5,9,5,7.5,5.5,,8.5,14,17.5,5.5,6,24
ec24,12,u,ELLO3,,,,,90,42,29,12.51,9,10,12.5,7,7.5,8.5,25.07,15.5,17,24,7.5,9.5,22
ec25,13,u,ELLO3,,,,,115,41,31,19.26,6.5,9.5,13,6,7.5,8.5,45.6,17.5,20,29,10,11,17
ec26,13,b,ELLO3,19.46,8.51,1.63,1.45,117,37,27,,10.5,14,14.5,7.5,9.5,9,,10.5,20.5,22,12,19,18
ec27,14,b,ELLO3,19.84,9.33,0.97,0.93,46,35,25,,9,9.5,12.5,5,5.5,6.5,,12.5,15,15,7.5,9,9.5
ec28,14,u,ELLO3,,,,,36,33,23,10.49,9.5,10,9,6,7.5,7,9.88,9,10.7,22,6,7.3,15
ec29,15,b,ELLO3,13.93,5.3,1.6,1.52,94,41,33,,11,10,11.5,11.5,10,10.5,,9,9,14.5,9.5,10.5,19.5
ec30,15,u,ELLO3,,,,,105,37,29,15.65,11.5,12.5,11.5,7.5,7,6.5,25.46,12,13,25,8,9,20.5
erc01,1,b,ERCUC4,14.12,6.61,,,78,57,47,,14,14.5,14,7,5.5,4.5,,13.5,45,35,3.5,11.5,13
erc02,1,u,ERCUC4,,,,,101,45,43,44.1,15,25,35.5,8.5,8,20,70.19,42,34,18,20,15,14.5
erc03,2,b,ERCUC4,14.36,6.76,2.67,2.55,91,53,43,,12,11,9,9.5,8.5,8.5,,41,39.5,12,4,6.5,6
erc04,2,u,ERCUC4,,,,,148,53,45,20.44,17,16,15.5,8,4.5,4,30.99,9,26,10,2.8,9,10
erc05,3,b,ERCUC4,11.23,5.21,3.04,2.89,120,45,33,,21,21,21,21,20.5,15.5,,33,24,30,25,27,23
erc06,3,u,ERCUC4,,,,,118,45,38,48.96,15,19.5,16,17.5,16.5,19.5,89.41,19.5,16,37,17,15,18
erc07,4,b,ERCUC4,14.44,6.25,5.54,5.4,69,59,42,,14,14,14.5,9,13,15.5,,14,17.5,57,19.5,15,28
erc08,4,u,ERCUC4,,,,,59,107,80,46.13,15.5,20,18.5,8,7,7,103.81,16.5,20,36,13.5,12.5,39
erc09,5,b,ERCUC4,8.07,4.71,,,147,109,55,,16,18.5,19.7,17,19,19.7,,19,45,50,10,15,28
erc10,5,u,ERCUC4,,,,,90,95,70,56.94,19,19.5,21,21,16,15,138.42,22,26,45,16,13,38
erc11,6,b,ERCUC4,9.71,4.54,,,26,80,52,,12,14,16,11.5,12,11,,17,24.5,37,9,23,30
erc12,6,u,ERCUC4,,,,,39,65,54,19.11,12,13,17,9,11,13,29.09,16,13,24,8.5,5,45
