time,mass
2016-06-08 11:58:09,"136	ec13	283.0515539646	2309100.0000000000"
2016-06-08 11:58:10,"125	ec13	284.0407779217	2308420.0000000000"
2016-06-08 11:58:11,"121	ec13	285.0368778706	2308740.0000000000"
2016-06-08 11:58:12,"123	ec13	286.0390279293	2315690.0000000000"
2016-06-08 11:58:13,"121	ec13	287.0372340679	2313910.0000000000"
2016-06-08 11:58:14,"128	ec13	288.0443558693	2312590.0000000000"
2016-06-08 11:58:15,"127	ec13	289.0425548553	2313480.0000000000"
2016-06-08 11:58:16,"122	ec13	290.0376698971	2312710.0000000000"
2016-06-08 11:58:17,"125	ec13	291.0407810211	2312150.0000000000"
2016-06-08 11:58:18,"121	ec13	292.0369029045	2310970.0000000000"
2016-06-08 11:58:19,"161	ec13	293.0770058632	2310650.0000000000"
2016-06-08 11:58:20,"143	ec13	294.0592050552	2312770.0000000000"
2016-06-08 11:58:21,"126	ec13	295.0423798561	2310920.0000000000"
2016-06-08 11:58:22,"127	ec13	296.0433759689	2313640.0000000000"
2016-06-08 11:58:23,"122	ec13	297.0377528667	2315020.0000000000"
2016-06-08 11:58:24,"126	ec13	298.0419440269	2313560.0000000000"
2016-06-08 11:58:25,"137	ec13	299.0531790257	2319530.0000000000"
2016-06-08 11:58:26,"124	ec13	300.0403199196	2317620.0000000000"
2016-06-08 11:58:27,"122	ec13	301.0374798775	2315140.0000000000"
2016-06-08 11:58:28,"123	ec13	302.0386688709	2312900.0000000000"
2016-06-08 11:58:29,"121	ec13	303.0366630554	2312680.0000000000"
2016-06-08 11:58:30,"122	ec13	304.0380098820	2311850.0000000000"
2016-06-08 11:58:31,"152	ec13	305.0682048798	2310800.0000000000"
2016-06-08 11:58:32,"135	ec13	306.0513770580	2311530.0000000000"
2016-06-08 11:58:33,"126	ec13	307.0416040421	2311500.0000000000"
2016-06-08 11:58:34,"122	ec13	308.0377559662	2311580.0000000000"
2016-06-08 11:58:35,"124	ec13	309.0398838520	2311440.0000000000"
2016-06-08 11:58:36,"121	ec13	310.0370068550	2310910.0000000000"
2016-06-08 11:58:37,"129	ec13	311.0451810360	2310430.0000000000"
2016-06-08 11:58:38,"127	ec13	312.0433979034	2310580.0000000000"
2016-06-08 11:58:39,"122	ec13	313.0374820232	2309990.0000000000"
2016-06-08 11:58:40,"126	ec13	314.0417950153	2309840.0000000000"
2016-06-08 11:58:41,"121	ec13	315.0368318558	2310070.0000000000"
2016-06-08 11:58:42,"161	ec13	316.0769820213	2310310.0000000000"
2016-06-08 11:58:43,"144	ec13	317.0601458549	2310080.0000000000"
2016-06-08 11:58:44,"126	ec13	318.0423369408	2310690.0000000000"
2016-06-08 11:58:45,"128	ec13	319.0434730053	2311150.0000000000"
2016-06-08 11:58:46,"122	ec13	320.0377080441	2311260.0000000000"
2016-06-08 11:58:47,"127	ec13	321.0428099632	2311640.0000000000"
2016-06-08 11:58:48,"138	ec13	322.0540149212	2311040.0000000000"
2016-06-08 11:58:49,"125	ec13	323.0410828590	2310700.0000000000"
2016-06-08 11:58:50,"121	ec13	324.0373320580	2310290.0000000000"
2016-06-08 11:58:51,"123	ec13	325.0394079685	2310060.0000000000"
2016-06-08 11:58:52,"122	ec13	326.0376219749	2309790.0000000000"
2016-06-08 11:58:53,"123	ec13	327.0387859344	2309720.0000000000"
2016-06-08 11:58:54,"153	ec13	328.0689258575	2310810.0000000000"
2016-06-08 11:58:55,"136	ec13	329.0521318913	2311230.0000000000"
2016-06-08 11:58:56,"125	ec13	330.0413579941	2311010.0000000000"
2016-06-08 11:58:57,"122	ec13	331.0375039577	2311060.0000000000"
2016-06-08 11:58:58,"124	ec13	332.0396580696	2310930.0000000000"
2016-06-08 11:58:59,"121	ec13	333.0368618965	2310590.0000000000"
2016-06-08 11:59:00,"129	ec13	334.0450079441	2310580.0000000000"
2016-06-08 11:59:01,"127	ec13	335.0431950092	2310890.0000000000"
2016-06-08 11:59:02,"122	ec13	336.0374109745	2311160.0000000000"
2016-06-08 11:59:03,"126	ec13	337.0415768623	2310910.0000000000"
2016-06-08 11:59:04,"122	ec13	338.0377650261	2310550.0000000000"
2016-06-08 11:59:05,"162	ec13	339.0777230263	2310340.0000000000"
2016-06-08 11:59:06,"144	ec13	340.0601499081	2309980.0000000000"
2016-06-08 11:59:07,"127	ec13	341.0433559418	2309880.0000000000"
2016-06-08 11:59:08,"122	ec13	342.0375618935	2310050.0000000000"
2016-06-08 11:59:09,"122	ec13	343.0377728939	2310110.0000000000"
2016-06-08 11:59:10,"127	ec13	344.0429079533	2310290.0000000000"
2016-06-08 11:59:11,"141	ec13	345.0571129322	2310170.0000000000"
2016-06-08 11:59:12,"125	ec13	346.0412089825	2309990.0000000000"
2016-06-08 11:59:13,"121	ec13	347.0373530388	2309870.0000000000"
2016-06-08 11:59:14,"124	ec13	348.0395839214	2310070.0000000000"
2016-06-08 11:59:15,"122	ec13	349.0377709866	2310110.0000000000"
2016-06-08 11:59:16,"123	ec13	350.0389668941	2310550.0000000000"
2016-06-08 11:59:17,"153	ec13	351.0691740513	2310220.0000000000"
2016-06-08 11:59:18,"135	ec13	352.0513730049	2309700.0000000000"
2016-06-08 11:59:19,"126	ec13	353.0415768623	2310230.0000000000"
2016-06-08 11:59:20,"122	ec13	354.0376150608	2310620.0000000000"
2016-06-08 11:59:21,"125	ec13	355.0407629013	2311520.0000000000"
2016-06-08 11:59:22,"121	ec13	356.0369839668	2310950.0000000000"
2016-06-08 11:59:23,"129	ec13	357.0451350212	2310830.0000000000"
2016-06-08 11:59:24,"128	ec13	358.0442969799	2309610.0000000000"
2016-06-08 11:59:25,"121	ec13	359.0373580456	2310610.0000000000"
2016-06-08 11:59:26,"127	ec13	360.0427620411	2310680.0000000000"
2016-06-08 11:59:27,"121	ec13	361.0368359089	2310430.0000000000"
2016-06-08 11:59:28,"162	ec13	362.0779900551	2310870.0000000000"
2016-06-08 11:59:29,"144	ec13	363.0600540638	2310430.0000000000"
2016-06-08 11:59:30,"127	ec13	364.0432698727	2309870.0000000000"
2016-06-08 11:59:31,"122	ec13	365.0374660492	2310810.0000000000"
2016-06-08 11:59:32,"123	ec13	366.0386469364	2310060.0000000000"
2016-06-08 11:59:33,"128	ec13	367.0437629223	2309960.0000000000"
2016-06-08 11:59:34,"138	ec13	368.0538179874	2310420.0000000000"
2016-06-08 11:59:35,"125	ec13	369.0409870148	2311050.0000000000"
2016-06-08 11:59:36,"121	ec13	370.0371348858	2311400.0000000000"
2016-06-08 11:59:37,"124	ec13	371.0402789116	2310570.0000000000"
2016-06-08 11:59:38,"122	ec13	372.0374619961	2310180.0000000000"
2016-06-08 11:59:39,"124	ec13	373.0396618843	2309880.0000000000"
2016-06-08 11:59:40,"154	ec13	374.0698180199	2309570.0000000000"
2016-06-08 11:59:41,"136	ec13	375.0519878864	2309540.0000000000"
2016-06-08 11:59:42,"126	ec13	376.0422480106	2309330.0000000000"
