time,mass
2015-10-23 13:23:12 ,"646	eg06	273.0373260975	5829200.0000000000"
2015-10-23 13:23:13 ,"650	eg06	274.0413131714	5829400.0000000000"
2015-10-23 13:23:14 ,"646	eg06	275.0372040272	5828700.0000000000"
2015-10-23 13:23:15 ,"685	eg06	276.0761711597	5828200.0000000000"
2015-10-23 13:23:16 ,"668	eg06	277.0592811108	5827400.0000000000"
2015-10-23 13:23:17 ,"651	eg06	278.0423390865	5826700.0000000000"
2015-10-23 13:23:18 ,"652	eg06	279.0432660580	5829800.0000000000"
2015-10-23 13:23:19 ,"646	eg06	280.0373091698	5829300.0000000000"
2015-10-23 13:23:20 ,"651	eg06	281.0422821045	5828600.0000000000"
2015-10-23 13:23:21 ,"662	eg06	282.0531771183	5827800.0000000000"
2015-10-23 13:23:22 ,"649	eg06	283.0402681828	5827200.0000000000"
2015-10-23 13:23:23 ,"646	eg06	284.0372951031	5826600.0000000000"
2015-10-23 13:23:24 ,"647	eg06	285.0381510258	5829400.0000000000"
2015-10-23 13:23:25 ,"652	eg06	286.0432300568	5828900.0000000000"
2015-10-23 13:23:26 ,"646	eg06	287.0370571613	5828200.0000000000"
2015-10-23 13:23:27 ,"676	eg06	288.0670380592	5827500.0000000000"
2015-10-23 13:23:28 ,"659	eg06	289.0501101017	5827100.0000000000"
2015-10-23 13:23:29 ,"649	eg06	290.0401179790	5826800.0000000000"
2015-10-23 13:23:30 ,"646	eg06	291.0370881557	5829700.0000000000"
2015-10-23 13:23:31 ,"648	eg06	292.0390281677	5829100.0000000000"
2015-10-23 13:23:32 ,"670	eg06	293.0609421730	5828600.0000000000"
2015-10-23 13:23:33 ,"656	eg06	294.0468871593	5827900.0000000000"
2015-10-23 13:23:34 ,"651	eg06	295.0419211388	5827200.0000000000"
2015-10-23 13:23:35 ,"646	eg06	296.0369720459	5827300.0000000000"
2015-10-23 13:23:36 ,"649	eg06	297.0399730206	5830100.0000000000"
2015-10-23 13:23:37 ,"647	eg06	298.0379421711	5829300.0000000000"
