time,mass
2016-06-15 13:28:11,"462	sn13	309.0631170273	2533580.0000000000"
2016-06-15 13:28:12,"441	sn13	310.0420551300	2534000.0000000000"
2016-06-15 13:28:13,"439	sn13	311.0399329662	2533330.0000000000"
2016-06-15 13:28:14,"436	sn13	312.0369141102	2533520.0000000000"
2016-06-15 13:28:15,"438	sn13	313.0388350487	2533760.0000000000"
2016-06-15 13:28:16,"436	sn13	314.0367500782	2533800.0000000000"
2016-06-15 13:28:17,"474	sn13	315.0745861530	2533540.0000000000"
2016-06-15 13:28:18,"457	sn13	316.0574810505	2533640.0000000000"
2016-06-15 13:28:19,"439	sn13	317.0403690338	2533150.0000000000"
2016-06-15 13:28:20,"440	sn13	318.0413200855	2533300.0000000000"
2016-06-15 13:28:21,"436	sn13	319.0371930599	2533280.0000000000"
2016-06-15 13:28:22,"439	sn13	320.0400850773	2533170.0000000000"
2016-06-15 13:28:23,"454	sn13	321.0549609661	2533430.0000000000"
2016-06-15 13:28:24,"437	sn13	322.0379459858	2533280.0000000000"
2016-06-15 13:28:25,"442	sn13	323.0429611206	2533400.0000000000"
2016-06-15 13:28:26,"436	sn13	324.0369420052	2533590.0000000000"
2016-06-15 13:28:27,"441	sn13	325.0418601036	2533720.0000000000"
2016-06-15 13:28:28,"437	sn13	326.0377070904	2533330.0000000000"
2016-06-15 13:28:29,"465	sn13	327.0656299591	2533540.0000000000"
2016-06-15 13:28:30,"448	sn13	328.0485620499	2533650.0000000000"
2016-06-15 13:28:31,"438	sn13	329.0383880138	2533840.0000000000"
2016-06-15 13:28:32,"442	sn13	330.0432860851	2534010.0000000000"
2016-06-15 13:28:33,"436	sn13	331.0372209549	2534250.0000000000"
2016-06-15 13:28:34,"462	sn13	332.0631110668	2535170.0000000000"
2016-06-15 13:28:35,"445	sn13	333.0460381508	2534810.0000000000"
2016-06-15 13:28:36,"440	sn13	334.0408549309	2534150.0000000000"
2016-06-15 13:28:37,"436	sn13	335.0368621349	2534790.0000000000"
2016-06-15 13:28:38,"439	sn13	336.0397410393	2534850.0000000000"
2016-06-15 13:28:39,"437	sn13	337.0376589298	2534880.0000000000"
2016-06-15 13:28:40,"474	sn13	338.0744669437	2534290.0000000000"
2016-06-15 13:28:41,"457	sn13	339.0574121475	2534020.0000000000"
